DISTRICTNAME,UNITNAME,Crime_No,Year,RI,Noofvehicle_involved,Accident_Classification,Accident_Spot,Accident_Location,Accident_SubLocation,Accident_SpotB,Main_Cause,Hit_Run,Severity,Collision_Type,Junction_Control,Road_Character,Road_Type,Surface_Type,Surface_Condition,Road_Condition,Weather,Lane_Type,Road_Markings,Spot_Conditions,Side_Walk,Collision_TypeB,Accident_Road,Landmark_first,landmark_second,Distance_LandMark_First,Distance_LandMark_Second,Accident_Description,Latitude,Longitude,Time
Vijayanagara,Arasikere PS,10438011720190003,2019,1,2,Road Accidents,Narrow road,Villages settlement,Open area,,Human Error,No,Grievous Injury,Head on,Not at  Junction,Others,State Highway,Bitumen(Tar),Dry,No influence on accident,Fine,DualLane,Kerb Line,Others,Not Applicable,Others,Davanagere-Harapanahalli Road,Near Jambulinganahalli Village,,20 Kms,,ಹರಪನಹಳ್ಳಿ ತಾಲ್ಲೂಕು ಜಂಬುಲಿಂಗನಹಳ್ಳಿ ಗ್ರಾಮದ ಹತ್ತಿರ ಶೆಟ್ಟಿ ನಾಯ್ಕ ರವರ ಜಮೀನಿನ ಬಳಿ ಹಾದು ಹೋಗಿರುವ ದಾವಣಗೆರೆ-ಕಂಚಿಕೆರೆ ರಸ್ತೆಯಾಗಿರುತ್ತದೆ,14.559466,75.946185,06:25:41 AM
Vijayanagara,Arasikere PS,10438011720190022,2019,1,4,Road Accidents,Curves,Rural Areas,Open area,,Human Error,No,Grievous Injury,Head on,Not at  Junction,Curve,State Highway,Bitumen(Tar),Dry,No influence on accident,Others,Others,Centre Broken Line,Others,Concrete,Others,Kanchikere-Harapanahalli Raod,Kanchikere Village,,14 Kms,,ಹರಪನಹಳ್ಳಿ ತಾಲ್ಲೂಕು ಕಂಚಿಕೆರೆ ಗ್ರಾಮದ ಶಾನಭೋಗರ ಅರಸಾಪುರ ಜಮೀನಿನ ಬಳಿ ಕಂಚಿಕೆರೆ-ಹರಪನಹಳ್ಳಿ ರಸ್ತೆಯಾಗಿರುತ್ತದೆ,14.618267,75.966585,08:21:06 PM
Vijayanagara,Arasikere PS,10438011720190007,2019,1,2,Road Accidents,Narrow road,Rural Areas,Open area,,Human Error,No,Grievous Injury,Head on,Not at  Junction,Others,State Highway,Bitumen(Tar),Dry,No influence on accident,Wind,Others,Centre Broken Line,Others,No Side Walk,Others,Arasikere-Ucchangidurga Road,Near Arasikere Village,,2 Kms,,ಹರಪನಹಳ್ಳಿ ತಾಲ್ಲೂಕು ಅರಸೀಕೆರೆ ಗ್ರಾಮದ ಹತ್ತಿರ ಅರಸೀಕೆರೆ-ಉಚ್ಚಂಗಿದುರ್ಗ ರಸ್ತೆಯಾಗಿರುತ್ತದೆ,14.668185,76.0687639,04:05:03 AM
Vijayanagara,Arasikere PS,10438011720190033,2019,1,1,Road Accidents,Circle,Rural Areas,Near Bus stop,Other,Human Error,No,Grievous Injury,Hit pedestrian,Uncontrolled,Others,State Highway,Bitumen(Tar),Dry,No influence on accident,Fine,DualLane,Centre Broken Line,Others,Concrete,Others,Anaji - Uchangidurga Road,Near Ucchangidurga Village,,4 Kms,,ಹರಪನಹಳ್ಳಿ ತಾಲ್ಲೂಕು ಉಚ್ಚಂಗಿದುರ್ಗ ಗ್ರಾಮದ ಬಸ್ ನಿಲ್ದಾಣದ ಹತ್ತಿರದ ಸ್ಥಳವಾಗಿರುತ್ತದೆ,14.564464,76.052704,07:52:09 PM
Vijayanagara,Arasikere PS,10438011720190017,2019,1,1,Road Accidents,Curves,Rural Areas,Open area,,Human Error,No,Fatal,Overturning,Not at  Junction,Curve,Village Road,Bitumen(Tar),Dry,Not Applicable,Clear,SingleLane,Directional Marking,Others,Asphalted,Others,Arasapura-Balenahalli,Jittinakatte Forest Area,,15,,ದಿನಾಂಕ: 03.02.2019 ರಂದು ಅರಸೀಕೆರೆ ಪೊಲೀಸ್ ಠಾಣಾ ವ್ಯಾಪ್ತಿಯ ಹರಪನಹಳ್ಳಿ ತಾಲ್ಲೂಕಿನ ಬಾಲೇನಹಳ್ಳಿ ಗ್ರಾಮದ ಹೊರವಲಯದಲ್ಲಿರುವ ಜಿತ್ತಿನಕಟ್ಟೆ ಕಾದಿಟ್ಟ ಅರಣ್ಯ ಪ್ರದೇಶದಲ್ಲಿ ಹಾದು ಹೋಗಿರುವ ಅರಸಾಪುರ-ಬಾಲೇನಹಳ್ಳಿ ರಸ್ತೆಯಲ್ಲಿ ಈ ಕೆಳಗೆ ಸಹಿ ಮಾಡಲಿರುವ ಪಂಚರಾದ ನಮ್ಮಗಳ ಸಮಕ್ಷಮ ಜರುಗಿಸಿದ ಕೃತ್ಯ ಸ್ಥಳದ ಪಂಚನಾಮೆ.,14.701786,75.990512,05:15:35 PM
Vijayanagara,Arasikere PS,10438011720190021,2019,1,2,Road Accidents,Curves,Rural Areas,Open area,,Human Error,No,Grievous Injury,Head on,Not at  Junction,Incline,State Highway,Bitumen(Tar),Dry,No influence on accident,Fine,DualLane,Centre Broken Line,Others,Concrete,Others,Arasikere-Harapanahalli Road,Near Arasikere Village,,3 Kms,,ಹರಪನಹಳ್ಳಿ ತಾಲ್ಲೂಕು ಅರಸೀಕೆರೆ ಗ್ರಾಮದ ಹತ್ತಿರ ಅರಸೀಕೆರೆ-ಹರಪನಹಳ್ಳಿ ರಸ್ತೆಯಾಗಿರುತ್ತದೆ,14.676074,76.072061,09:55:49 AM
Vijayanagara,Arasikere PS,10438011720190105,2019,1,2,Road Accidents,Curves,Rural Areas,Open area,Curve,Not Applicable,No,Grievous Injury,Others,Not at  Junction,Curve,State Highway,Bitumen(Tar),Dry,Not Applicable,Others,Others,Centre Broken Line,Centre Broken Line,Concrete,Head on,RURAL ROAD,CURRENT POLE,,25,,ಹರಪನಹಳ್ಳಿ ತಾಲ್ಲೂಕು ಅರಸೀಕೆರೆ ಪೊಲೀಸ್ ಠಾಣಾ ವ್ಯಾಪ್ತಿಯ ಬಾಲೇನಹಳ್ಳಿ ಗ್ರಾಮದ ಹತ್ತಿರ,14.659237,75.957346,06:36:56 AM
Vijayanagara,Arasikere PS,10438011720190027,2019,1,2,Road Accidents,Narrow road,Villages settlement,Open area,,Human Error,No,Grievous Injury,Others,Not at  Junction,Others,State Highway,Bitumen(Tar),Dry,No influence on accident,Fine,DualLane,Centre Broken Line,Others,Concrete,Others,Arasikere-Harapanahalli Road,Near Hikkimagere Village,,4 Kms,,ಹರಪನಹಳ್ಳಿ ತಾಲ್ಲೂಕು ಹಿಕ್ಕಿಂಗೆರೆ ಗ್ರಾಮದ ಹತ್ತಿರ ಹರಪನಹಳ್ಳಿ-ಅರಸೀಕೆರೆ ರಸ್ತೆಯಾಗಿರುತ್ತದೆ,14.699683,76.060494,12:17:35 AM
Vijayanagara,Arasikere PS,10438011720190056,2019,1,1,Road Accidents,Cross roads,Rural Areas,Open area,Straight and flat,Human Error,Yes,Fatal,Others,Uncontrolled,Curve,State Highway,Bitumen(Tar),Dry,Not Applicable,Clear,SingleLane,Centre Broken Line,Centre Broken Line,Asphalted,Overturning,Ucchanidurga-Arasikere cross Road,Cross,,25,,.          ದಿನಾಂಕ: 28.05.2019 ರಂದು ಬೆಳಗ್ಗೆ 9.30 ಗಂಟೆ ಸಮಯದಲ್ಲಿ ಹರಪನಹಳ್ಳಿ ತಾಲ್ಲೂಕಿನ ಅರಸೀಕೆರೆ ಪೊಲೀಸ್ ಠಾಣಾ ವ್ಯಾಪ್ತಿಗೆ ಸೇರಿದ ಕಮ್ಮತ್ತಹಳ್ಳಿ ಕ್ರಾಸ್ ಸಮೀಪದ ಮರುಳಸಿದ್ದಪ್ಪ ರವರ ಜಮೀನಿನ ಪಕ್ಕದ ಅರಸೀಕೆರೆ-ಉಚ್ಚಂಗಿದುರ್ಗ ರಸ್ತೆಯಲ್ಲಿ,14.617177,76.055258,09:44:38 AM
Vijayanagara,Arasikere PS,10438011720190082,2019,1,2,Road Accidents,Curves,Rural Areas,Open area,Other,Human Error,No,Fatal,Vehicle to Vehicle,No signal lights,Curve,State Highway,Bitumen(Tar),Dry,No influence on accident,Clear,DualLane,Centre Broken Line,Others,Asphalted,Others,Harapanahalli-Arasikere Road,Kolashanteshwar Matha,,15,,.          ದಿನಾಂಕ: 25.07.2019 ರಂದು ರಾತ್ರಿ 8.00 ಗಂಟೆಯ ಸಮಯದಲ್ಲಿ ಹರಪನಹಳ್ಳಿ ತಾಲ್ಲೂಕಿನ ಅರಸೀಕೆರೆ ಪೊಲೀಸ್ ಠಾಣಾ ವ್ಯಾಪ್ತಿಗೆ ಸೇರಿದ ಅರಸೀಕೆರೆ ಗ್ರಾಮದ ಶ್ರೀ ಕೋಲಶಾಂತೇಶ್ವರ ಮಠದ ಸಮೀಪ ಜೋಗಪ್ಪರ ಬಸಪ್ಪರವರ ಜಮೀನಿನ ಪಕ್ಕದಲ್ಲಿ ಹಾದು ಹೋಗಿರುವ ಹರಪನಹಳ್ಳಿ-ಅರಸೀಕೆರೆ ರಸ್ತೆಯಲ್ಲಿ,14.782924,75.989894,06:53:46 AM
